id,timestamp,value
A,2025-03-01T00:00:00,199.56
A,2025-03-01T00:01:00,201.84
A,2025-03-01T00:02:00,203.44
A,2025-03-01T00:03:00,204.64
A,2025-03-01T00:04:00,204.97
A,2025-03-01T00:05:00,207.24
A,2025-03-01T00:06:00,210.99
A,2025-03-01T00:07:00,210.6
A,2025-03-01T00:08:00,212.33
A,2025-03-01T00:09:00,213.88
A,2025-03-01T00:10:00,215.86
A,2025-03-01T00:11:00,216.29
A,2025-03-01T00:12:00,216.61
A,2025-03-01T00:13:00,221.52
A,2025-03-01T00:14:00,219.13
A,2025-03-01T00:15:00,223.03
A,2025-03-01T00:16:00,222.06
A,2025-03-01T00:17:00,225.49
A,2025-03-01T00:18:00,227.38
A,2025-03-01T00:19:00,229.01
A,2025-03-01T00:20:00,229.17
A,2025-03-01T00:21:00,232.54
A,2025-03-01T00:22:00,233.2
A,2025-03-01T00:23:00,234.98
A,2025-03-01T00:24:00,237.59
A,2025-03-01T00:25:00,238.15
A,2025-03-01T00:26:00,237.38
A,2025-03-01T00:27:00,240.85
A,2025-03-01T00:28:00,242.53
A,2025-03-01T00:29:00,241.67
A,2025-03-01T00:30:00,245.51
A,2025-03-01T00:31:00,246.36
A,2025-03-01T00:32:00,247.9
A,2025-03-01T00:33:00,248.38
A,2025-03-01T00:34:00,250.56
A,2025-03-01T00:35:00,251.67
A,2025-03-01T00:36:00,255.29
A,2025-03-01T00:37:00,253.35
A,2025-03-01T00:38:00,256.53
A,2025-03-01T00:39:00,258.75
A,2025-03-01T00:40:00,258.33
A,2025-03-01T00:41:00,260.6
A,2025-03-01T00:42:00,262.67
A,2025-03-01T00:43:00,266.54
A,2025-03-01T00:44:00,266.45
A,2025-03-01T00:45:00,268.33
A,2025-03-01T00:46:00,268.69
A,2025-03-01T00:47:00,271.69
A,2025-03-01T00:48:00,271.31
A,2025-03-01T00:49:00,272.14
A,2025-03-01T00:50:00,274.37
A,2025-03-01T00:51:00,277.91
A,2025-03-01T00:52:00,278.35
A,2025-03-01T00:53:00,278.96
A,2025-03-01T00:54:00,280.7
A,2025-03-01T00:55:00,281.43
A,2025-03-01T00:56:00,283.2
A,2025-03-01T00:57:00,286.23
A,2025-03-01T00:58:00,287.22
A,2025-03-01T00:59:00,287.1
A,2025-03-01T01:00:00,288.81
A,2025-03-01T01:01:00,290.42
A,2025-03-01T01:02:00,291.68
A,2025-03-01T01:03:00,294.09
A,2025-03-01T01:04:00,294.96
A,2025-03-01T01:05:00,296.9
A,2025-03-01T01:06:00,298.72
A,2025-03-01T01:07:00,299.52
A,2025-03-01T01:08:00,302.03
A,2025-03-01T01:09:00,304.54
A,2025-03-01T01:10:00,304.98
A,2025-03-01T01:11:00,308.03
A,2025-03-01T01:12:00,308.46
A,2025-03-01T01:13:00,308.56
A,2025-03-01T01:14:00,310.26
A,2025-03-01T01:15:00,312.54
A,2025-03-01T01:16:00,314.8
A,2025-03-01T01:17:00,316.09
A,2025-03-01T01:18:00,316.13
A,2025-03-01T01:19:00,316.76
A,2025-03-01T01:20:00,320.21
A,2025-03-01T01:21:00,321.6
A,2025-03-01T01:22:00,320.8
A,2025-03-01T01:23:00,324.92
A,2025-03-01T01:24:00,326.37
A,2025-03-01T01:25:00,328.97
A,2025-03-01T01:26:00,328.75
A,2025-03-01T01:27:00,330.09
A,2025-03-01T01:28:00,333.93
A,2025-03-01T01:29:00,332.03
A,2025-03-01T01:30:00,333.74
A,2025-03-01T01:31:00,335.98
A,2025-03-01T01:32:00,338.07
A,2025-03-01T01:33:00,339.98
A,2025-03-01T01:34:00,342.51
A,2025-03-01T01:35:00,342.7
A,2025-03-01T01:36:00,344.15
A,2025-03-01T01:37:00,344.7
A,2025-03-01T01:38:00,346.63
A,2025-03-01T01:39:00,347.0
A,2025-03-01T01:40:00,350.21
A,2025-03-01T01:41:00,351.51
A,2025-03-01T01:42:00,353.43
A,2025-03-01T01:43:00,353.67
A,2025-03-01T01:44:00,356.55
A,2025-03-01T01:45:00,358.62
A,2025-03-01T01:46:00,358.31
A,2025-03-01T01:47:00,360.93
A,2025-03-01T01:48:00,361.16
A,2025-03-01T01:49:00,365.35
A,2025-03-01T01:50:00,365.75
A,2025-03-01T01:51:00,365.8
A,2025-03-01T01:52:00,368.96
